"wsg_deb_name","wsg_latest_version","wsg_old_version"
"dh-python","dh-python_3.20180325ubuntu2_all.deb","1.20140128-1ubuntu8.2
"
"diffutils","diffutils_3.6-1_amd64.deb","1:3.3-1
"
"dkms","dkms_2.3-3ubuntu9_all.deb","2.2.0.3-1.1ubuntu5.14.04.5
"
"dmidecode","dmidecode_3.1-1_amd64.deb","2.12-2
"
"dmsetup","dmsetup_1.02.145-4.1ubuntu3_amd64.deb","2:1.02.77-6ubuntu2.1
"
"dnsmasq","None","2.68-1ubuntu0.1
"
"dnsmasq-base","dnsmasq-base_2.79-1_amd64.deb","2.68-1ubuntu0.1
"
"dnsutils","dnsutils_9.11.3+dfsg-1ubuntu1_amd64.deb","1:9.9.5.dfsg-3ubuntu0.7
"
"docutils-common","docutils-common_0.14+dfsg-3_all.deb","0.11-3
"
"docutils-doc","docutils-doc_0.14+dfsg-3_all.deb","0.11-3
"
"dosfstools","None","3.0.26-1
"
"dpkg","dpkg_1.19.0.5ubuntu2_amd64.deb","1.17.5ubuntu5.5
"
"dpkg-dev","dpkg-dev_1.19.0.5ubuntu2_all.deb","1.17.5ubuntu5.5
"
"e2fsprogs","e2fsprogs_1.44.1-1_amd64.deb","1.42.9-3ubuntu1.3
"
"ed","ed_1.10-2.1_amd64.deb","1.9-2
"
"eject","eject_2.1.5+deb1+cvs20081104-13.2_amd64.deb","2.1.5+deb1+cvs20081104-13.1
"
"ethtool","ethtool_4.15-0ubuntu1_amd64.deb","1:3.13-1
"
"fakeroot","fakeroot_1.22-2ubuntu1_amd64.deb","1.20-3ubuntu2
"
"fence-agents","fence-agents_4.0.25-2ubuntu1_amd64.deb","3.1.5-2ubuntu4
"
"file","file_5.32-2_amd64.deb","1:5.14-2ubuntu3.3
"
"findutils","findutils_4.6.0+git+20170828-2_amd64.deb","4.4.2-7
"
"fio","fio_3.1-1_amd64.deb","2.1.3-1
"
"fontconfig","fontconfig_2.12.6-0ubuntu2_amd64.deb","2.11.0-0ubuntu4.1
"
"fontconfig-config","fontconfig-config_2.12.6-0ubuntu2_all.deb","2.11.0-0ubuntu4.1
"
"fonts-dejavu","None","2.34-1ubuntu1
"
